@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {near,far}

@data
10.08451,7.148162,2.18145,3.447627,far
6.179228,2.54422,2.447627,3.657366,near
5.579555,3.146283,2.746283,1.644348,near
1.644348,6.148162,7.740077,4.883659,far
2.044348,3.58138,4.352565,3.08145,near
1.235257,3.032787,3.847627,0.774008,near
6.197036,30.813803,12.267196,6.148162,far
1.476402,2.54422,5.679555,1.732787,near
2.746283,1.474418,1.093315,1.42672,near
10.257366,11.040077,7.648162,8.78451,far
2.576402,1.544348,0.387923,1.932787,near
1.832787,4.983659,9.18451,5.783659,far
3.346283,7.740077,8.98451,5.346283,far
9.179555,9.798351,6.248162,5.779555,far
6.657366,4.779228,2.62672,4.093315,near
5.68138,2.776402,1.074008,2.746283,near
4.076402,2.232787,1.074418,2.676402,near
4.579228,7.848162,9.348162,7.940077,far
0.989835,1.42672,2.52672,1.093315,near
1.376402,11.848162,13.348162,3.457366,far
9.94418,7.098351,3.18145,4.857366,far
3.438186,2.02672,1.508138,2.293315,near
10.93315,8.379555,4.98145,7.648162,far
4.92672,2.14422,1.82672,2.774418,near
5.852565,4.257366,5.32672,3.08145,near
7.179555,4.657366,1.52672,2.18145,near
0.387923,0.935257,1.014816,0.645737,near
1.72672,5.579555,7.998351,3.98138,far
8.540077,11.279555,8.179555,7.740077,far
1.544348,4.557366,10.93315,1.94422,far
1.42672,0.968451,0.968451,0.714816,near
3.58138,1.94422,6.232787,4.332787,near
1.94422,6.448162,10.34418,2.846283,far
6.879555,6.179555,3.757366,1.32672,far
0.387923,1.174418,1.732787,1.293315,near
2.135257,1.393315,3.044348,1.32672,near
11.08451,5.879555,8.68451,5.152565,far
5.58145,5.479555,3.979228,0.547956,near
10.657366,6.948162,3.146283,5.952565,far
1.976402,2.18145,5.679555,1.376402,near
1.093315,1.732787,4.479228,1.093315,near
1.676402,1.544348,4.652565,3.28138,near
6.898351,5.08138,2.476402,2.232787,far
3.244348,5.879555,7.598351,3.48138,far
1.093315,2.447627,2.746283,0.547956,near
1.593315,1.974008,2.744348,1.732787,near
4.346283,9.179228,11.948162,5.479555,far
1.376402,6.152565,7.740077,3.457366,far
5.879555,3.32672,2.34422,4.447627,near
1.393315,2.48145,6.052565,2.447627,far
4.144348,5.047627,3.28138,2.544348,near
9.498351,5.852565,2.746283,4.552565,far
2.846283,2.847627,2.076402,1.193315,near
1.844348,0.914816,0.218145,1.493315,near
2.947627,2.176402,0.747956,1.72672,near
1.476402,6.652565,8.240077,3.879228,far
4.874418,5.183659,3.44422,4.18138,near
5.947627,4.552565,3.34422,3.879228,near
6.879228,7.032787,2.647627,4.279228,near
1.476402,1.932787,1.732787,0.535257,near
1.674008,3.457366,5.88145,1.82672,near
3.38138,1.22672,1.22672,1.174418,near
4.657366,2.18145,4.752565,2.547627,near
7.18145,10.683659,7.498351,8.240077,far
10.34418,7.379555,2.64422,6.052565,far
1.093315,4.983659,7.298351,2.746283,near
10.38451,9.379555,3.657366,7.298351,far
2.746283,2.74422,0.774008,1.22672,near
3.744348,10.947627,11.13315,5.38138,far
10.440077,7.679555,1.732787,2.232787,far
1.844348,8.479555,10.93315,3.879228,far
0.747956,1.52672,3.08138,1.093315,near
2.189835,3.846283,5.78138,1.193315,near
2.947627,7.857366,10.88451,3.879228,far
8.68451,8.540077,2.846283,5.546283,far
0.968451,3.18138,6.452565,1.193315,near
4.376402,4.193315,3.314816,1.544348,near
3.18138,3.457366,7.846283,3.879228,near
9.58451,8.298351,4.883659,4.88138,far
8.68451,4.752565,2.18145,2.04422,near
1.476402,3.557366,4.479228,1.22672,near
2.968451,4.652565,6.779555,2.84422,near
1.193315,7.798351,6.079555,4.246283,far
4.08138,2.24422,5.779555,3.08138,near
7.983659,4.883659,1.376402,3.08138,far
2.447627,7.298351,8.040077,5.479555,far
0.968451,1.544348,3.979228,1.732787,near
2.647627,1.42672,0.774008,1.22672,near
1.393315,1.732787,3.979228,3.08145,near
5.079228,5.232787,3.646283,4.776402,near
9.18451,7.279555,1.732787,4.279228,far
1.22672,4.847627,8.68451,2.432787,far
5.979228,2.34422,2.946283,3.457366,near
1.744348,3.046283,3.857366,1.814816,near
2.28145,4.446283,5.479555,1.593315,near
11.440077,6.148162,1.544348,4.352565,far
1.376402,2.38145,4.952565,2.746283,far
2.547627,7.740077,8.240077,4.079228,far
9.198351,7.840077,2.18145,4.846283,far
2.946283,8.68451,6.348162,2.776402,far
4.879228,9.98451,7.498351,4.18138,far
8.240077,5.879555,7.740077,1.62672,far
1.94422,5.979555,7.398351,3.346283,far
4.647627,3.746283,1.376402,1.744348,near
6.279555,2.947627,0.435257,1.544348,near
1.32672,3.132787,4.246283,1.72672,near
7.283659,4.352565,0.689835,3.146283,near
5.779555,6.848162,2.946283,2.44422,far
5.352565,12.640077,9.18451,3.48138,far
8.840077,6.179555,2.98145,2.78145,far
4.752565,3.879228,5.479555,2.946283,near
1.376402,4.352565,8.740077,2.447627,far
10.93315,5.479555,2.18145,5.579555,far
11.33315,8.998351,6.783659,4.883659,far
8.548162,5.857366,2.576402,4.146283,far
2.938186,1.52672,1.008138,1.793315,near
3.98138,3.84422,1.474418,2.668451,near
0.888366,1.174008,1.944348,1.376402,near
2.847627,6.998351,9.279555,2.746283,far
2.04422,2.447627,1.193315,1.035257,near
0.614816,1.544348,3.879228,1.289835,near
2.347956,3.246283,3.346283,1.376402,near
0.714816,0.735257,0.814816,0.445737,near
10.498351,6.852565,1.832787,5.283659,far
3.546283,3.457366,2.776402,1.093315,near
3.246283,10.93315,8.88451,5.246283,far
2.18145,6.548162,7.798351,3.457366,far
5.479555,7.379228,10.148162,6.54422,far
10.84418,8.648162,1.644348,5.883659,far
0.789835,1.193315,2.644348,1.074418,near
3.78138,6.152565,4.452565,3.28138,far
2.28145,11.18451,13.14418,4.352565,far
3.08145,3.744348,1.976402,0.874008,near
4.357366,7.279555,8.698351,4.179228,far
6.279555,4.157366,1.42672,3.857366,far
7.783659,6.752565,1.376402,3.047627,far
3.247627,1.376402,1.074418,0.308138,near
3.144348,2.38145,0.888366,1.174418,near
1.376402,4.274008,5.044348,3.032787,near
8.78138,4.883659,1.644348,3.457366,far
0.488366,1.093315,3.857366,1.476402,near
2.535257,2.846283,2.847627,1.093315,near
1.22672,7.198351,5.479555,3.646283,far
2.847627,6.68138,10.198351,5.479555,far
7.840077,7.948162,5.979555,2.647627,far
10.040077,6.257366,1.544348,3.18138,far
1.468451,4.58145,6.157366,1.932787,near
1.168451,1.32672,2.447627,1.932787,near
0.614816,2.746283,4.352565,1.732787,near
1.376402,1.544348,3.757366,2.14422,near
1.093315,5.247627,8.68451,2.832787,far
3.18138,8.440077,5.383659,1.476402,far
6.998351,3.457366,1.193315,2.88145,near
2.28145,5.679555,7.098351,3.046283,far
5.379228,10.48451,7.998351,4.68138,far
1.52672,1.82672,2.947627,2.432787,near
9.84418,6.998351,3.08145,4.757366,far
10.14418,5.779555,2.632787,6.879555,far
2.04422,2.676402,4.746283,2.574418,near
4.157366,3.04422,0.488366,1.274418,near
5.657366,7.840077,9.48451,5.479228,far
1.644348,4.657366,11.03315,1.732787,far
1.193315,2.746283,5.179228,2.38145,near
3.946283,8.483659,13.44418,4.257366,far
9.640077,7.498351,2.04422,1.94422,far
3.557366,4.744348,3.58138,0.789835,near
6.948162,6.157366,1.932787,4.057366,far
9.88451,8.879555,5.679555,8.152565,far
12.267196,13.23315,3.757366,4.652565,far
11.63315,6.248162,2.38145,4.983659,far
2.18145,8.68451,10.54418,4.552565,far
7.757366,8.040077,6.348162,7.852565,far
1.093315,4.78138,5.052565,2.28145,near
11.48451,6.248162,1.376402,1.544348,far
3.546283,2.447627,1.193315,1.94422,near
0.435257,1.932787,2.747627,0.835257,near
2.18145,1.193315,0.774008,2.28145,near
2.946283,2.947627,2.176402,1.293315,near
5.679555,9.098351,11.34418,5.832787,far
4.08145,7.583659,11.28451,6.052565,far
1.42672,4.58138,8.78451,3.88138,far
1.476402,4.276402,7.740077,2.332787,near
3.08138,2.447627,2.746283,0.868451,near
2.14422,2.132787,1.189835,0.974418,near
11.54418,6.079555,2.24422,6.84422,far
1.093315,3.64422,5.58145,2.02672,near
10.68451,8.740077,3.18145,4.879228,far
10.64418,5.679555,2.276402,5.94422,far
9.48451,8.140077,3.88138,4.779228,far
2.746283,3.246283,5.64422,2.34422,near
3.12672,2.38145,1.476402,0.218145,near
1.644348,5.479555,10.04418,3.857366,far
4.944348,3.493315,2.14422,0.974418,near
1.744348,5.183659,8.98451,4.852565,far
0.387923,1.093315,3.879228,1.576402,near
3.58138,3.08138,1.544348,2.332787,near
